text,category
AdvertisementSupported bySAN FRANCISCO  Gary Gensler was one of the top financial regulators in the Obama administration the finance chief for Hillary Clintons 2016 presidential campaign and before both of those jobs a partner at Goldman SachsNow like many other big names from business and government he is plunging into the world of the blockchain the datatracking technology introduced by BitcoinMr Gensler 60 has recently gone to work at the Massachusetts Institute of Technology where he will write and teach about the potential he sees for blockchains to change the financial worldHe will also use his position to warn about how many of the current projects in the world of virtual currencies including some of the biggest are likely to face a significant moment of reckoning with regulatorsMr Gensler is set to say in a speech at MIT on Monday that the second and third most widely used virtual currencies Ether and Ripple have most likely been issued and traded in violation of American securities regulationsThere is a strong case for both of them  but particularly Ripple  that they are noncompliant securities he said in an interview He believes Bitcoin the original virtual currency can remain exempt from securities regulationsMr Gensler will be one of the most influential voices to weigh in on a series of questions that are likely to shape the future of the nascent industryBut Mr Gensler believes that betterknown virtual currencies like Ether and Ripple should be in that conversation as well and should likely be categorized as securities given the way they have been created and sold2018 is going to be a very interesting time Mr Gensler said Over 1000 previously issued initial coin offerings and over 100 exchanges that offer ICOs are going to need to sort out how to come into compliance with US securities lawAll the outstanding Ether were worth around 65 billion at Sundays price while the Ripple tokens in the hands of investors are worth around 35 billionIf they are deemed to be securities it could become illegal for Americans to trade them on most of the exchanges where they are now traded That would make it harder to buy and sell them and depress their pricesMr Gensler developed a reputation for standing up to powerful financial interests when he was the head of the Commodity Futures Trading CommissionBefore he got into office some worried that his background at Goldman Sachs would make him hesitant to take on the big banks But as the chairman of the commission he became one of the most aggressive watchdogs in the effort to rein in Wall Street after the financial crisisJoi Ito the director of the MIT Media Lab and a member of the board of directors of The New York Times said the combination of Mr Genslers record of independence and his knowledge of finance and policy was what made him so attractive to MITMr Ito has built the Digital Currency Initiative at the Media Lab in an effort to gather a collection of virtual currency experts who dont have a financial interest in them though the initiative does provide financial support for some developers working on the Bitcoin softwareIts important that you have a core group of people who arent in it for the money and who care about the proper architecture for the long run he saidMr Gensler has a dual appointment as a special adviser to the Media Lab and a senior lecturer at the MIT Sloan School of Management where he will teach a class on the blockchain in the fallThe original blockchain is the ledger on which all Bitcoin transactions are recorded The Bitcoin blockchain is updated by a network of computers so that no central authority is neededWhile most blockchain experiments are in an early stage Mr Gensler said he had become convinced that blockchains could replace many of the middlemen in the financial industryFor now though his words are likely to have their greatest impact on the quickly evolving debate about how virtual currencies should be regulatedMost industry experts including Mr Gensler assume that Bitcoin is safe from being categorized as a security because it was not originally issued through an initial coin offering or a central organization and the software is maintained by a decentralized group of developers Some other virtual currencies like Litecoin and Monero have similar designsBut Mr Gensler said Ether could have more problems because the first Ether tokens were sold in 2014 before the network was functional by the Ethereum FoundationEther could get off the hook Mr Gensler said because its development has been more decentralized recently and new Ether tokens are now given out to socalled miners through a networkAya Miyaguchi the head of the Ethereum Foundation said in an email that the foundation neither controls the supply of nor has the ability to issue Ether and the quantity of Ether that the foundation holds under 1 percent of all Ether is already lower than that held by many other ecosystem participantsBut Mr Gensler said it would be much harder for the Ripple token known as XRP to avoid being categorized as a security The company that oversees Ripples development still holds most of the XRP tokens and does most of the work to make the software and the token valuable he saidA spokesman for the company Ripple Tom Channick said XRP should not be a securityXRP does not give its owners an interest or stake in Ripple and they are not paid dividends he said XRP exists independent of Ripple was created before the company and will exist after itMr Gensler who has no virtual currency investments said he was not tied to any coins winning the race But he does think changes are necessary before blockchains can go mainstreamI would be surprised if 10 years from now this isnt somewhere in the financial system in a meaningful way he said But so much of the stuff that is being promoted now will not be aroundAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported bySAN FRANCISCO  Last year representatives of 25 countries met in Tokyo to work on setting international standards for the blockchain the technology that was introduced by the virtual currency Bitcoin and has ignited intense interest in corporate and government circlesSome of the technologists at the meeting of the International Standards Organization were surprised when they learned that the head of the Russian delegation Grigory Marshalko worked for the FSB the intelligence agency that is the successor to the KGBThey were even more surprised when they asked the FSB agent why the Russians were devoting such resources to the blockchain standardsLook the internet belongs to the Americans  but blockchain will belong to us he said according to one delegate who was there The Russian added that two other members of his countrys fourperson delegation to the conference also worked for the FSBAnother delegate who had a separate conversation with the head of the Russian group remembers a slightly different wording The internet belonged to America The blockchain will belong to the RussiansBoth of the delegates who recounted their conversations did so on the condition of anonymity because discussions at the International Standards Organization or ISO are supposed to be confidential Neither the Russian organizations overseeing the delegation to the ISO nor the Russian delegates responded to requests for commentThe sentiment expressed by the Russian delegate is as clear a sign as any of the significance that some governments are assigning to the blockchain  a technology that is now being applied to things as varied as financial trading and voting  and the degree to which it is becoming a subject of geopolitical battlesThe Russian interest in the normally wonky technical sessions has caused concern among other delegations who worry that individual countries could push standards that would make the security of the blockchain technology vulnerable to surveillance and attackThe ISO based in Geneva was created in 1947 to ensure that important technologies are built or measured in the same way all over the world Over the years it has created standards for food safety film sensitivity and much moreRussia is not the only country sending highpowered delegations to the ISO technical committee focusing on blockchain standards which got its start last year The 25 countries with committee delegations sent over 130 people to the last meeting to discuss matters like a common method for security China sent officials from the finance ministry while the United States had delegates from IBM and Microsoft according to participantsIt is a very soughtout technology today because it really does create the foundation for the future that is coming said Gilbert Verdian the head of the British delegation working on blockchain standards at the ISO and the founder of the company Quant Network To get behind it and back it now is going to put people at an advantage either politically or economicallyThe original blockchain is the shared database on which all Bitcoin transactions are recorded It is kept by a distributed network of computers managed by many people rather than one central authority While there are now many virtual currencies each with its own blockchain there are also many government and corporate efforts looking at ways to use blockchain technology to securely record other kinds of dataThere are still significant questions about whether the technology will live up to expectations  and few projects have proceeded beyond the pilot stage aside from virtual currency networks like Bitcoin and EthereumWithin the young blockchain industry there is a widespread belief that the companies and countries that establish an early lead could guide the direction of the technology for both commercial and national security purposesEmma Channing a lawyer who frequently works with blockchain startups recently raised an alarm about the intrigue at the ISO standards groupMs Channing said she was worried that countries that devote more resources to the process could successfully push their preferred cryptographic algorithms to be the standards potentially creating socalled back doors that could be used in the future to spy on blockchain activityIn the context of software it is the perfect Trojan said Ms Channing a cofounder of the Satis Group an American company that advises blockchain projects If something gets buried in it these things will get adopted wholesale  and wont be questioned on the way inMs Channing recently emailed dozens of blockchain experts trying to get them to volunteer as representatives to the ISO delegations in their countries so that the process does not become dominated by a few countriesThe chairman of the ISO blockchain committee Craig Dunn rejected the idea that any country could shape the process While ISO proceedings are generally confidential new standards must go through many stages with many rounds of voting  first with smaller working groups and then with full national delegationsThere has to be agreement and consensus across the member countries to take a standard forward said Mr Dunn who is also the head of the Australian delegation to the committeeAnother member of the Russian delegation Alexey Urivskiy told the Russian newspaper Vedomosti last year that the delegation at the ISO committee was supposed to get Russian cryptographic algorithms into the standard The Vedomosti article said that the head of the Russian ISO delegation Mr Marshalko was affiliated with the FSBRussia is not the only country pushing hard on the blockchain Many Chinese government offices have been public about their interest in taking advantage of the blockchain technology for tasks like tracking people and products moving through industrial supply chainsAt the ISO meetings last fall in Tokyo the Chinese government sent one of the largest delegations with at least nine people including representatives from the finance ministry and the Chinese central bank according to a delegate from another country who met the Chinese participantsThe United States delegation was led at the last meeting by a Microsoft employee and included a delegate from IBM Microsoft and IBM are two of the global companies that have pushed hardest to develop blockchain technologyAt the first meeting of the ISO blockchain group the Russian delegation led a study group on security and privacy issues which caused discomfort among some delegates from other countries according to the two delegates who spoke to The New York Times At a second meeting oversight for these issues was transferred to a working group led by FranceMr Verdian the head of the British group said lots of delegations were jockeying to get an edge on the new technologyIt will change how our society can operate but at the same time in harnessing this technology people might want to leverage that for their own gain he said We all owe it to each other to do it right so that it benefits all of us rather than a fewOleg Matsnev contributed reporting from MoscowAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported bySAN FRANCISCO  Facebook Inc Chief Executive Mark Zuckerberg on Tuesday ordered one of the biggest management shakeups in the history of the social network giving more responsibility to his chief product officer and launching a blockchain division The shakeup appeared to consolidate power at the sprawling internet company although it included no firings or outside hires and did not change the role of either Zuckerberg or Chief Operating Officer Sheryl Sandberg Chris Cox the chief product officer in charge of the flagship Facebook service will now also oversee the widely used services Instagram Messenger and WhatsApp the company said WhatsApp has been given a relatively free hand since 2014 when Facebook bought it for 22 billion but in recent months its two cofounders have announced their resignations opening the door to closer integration Two other executives Chief Technology Officer Mike Schroepfer and Vice President of Growth Javier Olivan will oversee other consolidated divisions one related to new platforms and infrastructure and another for centralized services such as the ads system Facebook confirmed the staff moves which were first reported by the tech news website Recode The company declined to comment on the reasons behind the shakeup David Marcus the head of Messenger for the past four years is leaving that role to set up a group to explore how to use blockchain technology across Facebook he said in a post on Facebook httpsbitly2FYpOp9 Blockchain the technology that underpins cryptocurrencies such as bitcoin could have other business applications as a ledger for recording transactions although Marcus said Facebook was starting from scratch Stan Chudnovsky who has been Messengers product chief will succeed Marcus as head of the service Facebook said Chris Daniels who has been in charge of a Facebook effort to expand internet access will be the head of WhatsApp succeeding Jan Koum the WhatsApp cofounder who said last week he was leaving the company A second WhatsApp cofounder Brian Acton left in September to start a foundation Messenger and WhatsApp each has more than 1 billion users making them among the most widely used smartphone apps globally Kevin Weil head of product at Instagram is leaving that job to join Facebooks blockchain division and Adam Mosseri head of the Facebook News Feed will succeed Weil at Instagram the company said  Reporting by David Ingram Editing by Lisa ShumakerAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byNEW YORK  Gold and diamond companies including Berkshire Hathaway Incs Richline Group Inc joined with IBM to develop blockchain technology to track the origin of jewelry and ensure it is ethically sourced the companies said on ThursdayThe joint initiative dubbed TrustChain aims to make it easier for consumers to track diamonds and precious metals through the various steps of the supply chain as they become finished pieces jewelry the companies saidThe technology will initially help track six styles of diamond and gold engagement rings and is expected to be available to consumers by the end of 2018 the companies saidOther firms involved in the initiative include precious metals refiner Asahi Refining jewelry retailer Helzberg Diamonds precious metals supplier LeachGarner and thirdparty verification provider UL Blockchain which first emerged as the system powering cryptocurrency bitcoin is a shared database that is maintained by a network of computers connected to the internetBecause it makes it easier for multiple parties to jointly create and update tamperproof records the firms involved in the project believe it is well suited to securely and efficiently track and prove the origin and ethical sourcing of jewelryRichline Group had previously attempted to create a similar database using different technology but the process was still heavily manual and prone to inaccuracies Mark Hanna the companys chief marketing officer said in an interviewWe were always very enamored with it but there wasnt the right platform Hanna said Then along came blockchainThe TrustChain platform was tested last week to track the provenance of a diamond ring across the supply chain Other companies in the industry have started to explore using blockchain technology Anglo Americans diamond unit De Beers said in January that it aims to create an industry wide blockchain to track gems each time they change hands starting from the moment they are dug from the ground L8N1PB4GZCompanies in other sectors have also been seeking to adapt blockchain help simplify and reduce the costs some of their most data processesSupply chain management is one of the areas where businesses believe blockchain holds the most promise as it involves numerous parties and is still very manualIBM is also working with large food retail companies on a blockchain platform to help track food supply chains and improve safety Reporting by Anna Irrera Editing by Cynthia OstermanAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported bySAN FRANCISCO  Worried about someone hacking the next election Bothered by the way Facebook and Equifax coughed up your personal informationThe technology industry has an answer called the blockchain  even for the problems the industry helped to createNow countless entrepreneurs companies and governments are looking to use similar databases  often independent of Bitcoin  to solve some of the most intractable issues facing societyPeople feel the need to move away from something like Facebook and toward something that allows them to have ownership of their own data said Ryan Shea a cofounder of Blockstack a New York company working with blockchain technologyBlockchain allows information to be stored and exchanged by a network of computers without any central authority In theory this egalitarian arrangement also makes it harder for data to be altered or hackedMost of the projects have not gotten beyond pilot testing and many are aimed at transforming mundane corporate tasks like financial trading and accounting But some experiments promise to transform fundamental things like the way we vote and the way we interact onlineThere is just so much it can do said Bradley Tusk a former campaign manager for Michael R Bloomberg the former mayor of New York who has recently thrown his weight behind several blockchain projects I love the fact that you can transmit data information and choices in a way that is really hard to hack  really hard to disrupt and that can be really efficientMr Tusk the founder of Tusk Strategies is an investor in some large virtual currency companies He has also supported efforts aimed at getting governments to move voting online to blockchainbased systems Mr Tusk argues that blockchains could make reliable online voting possible because the votes could be recorded in a tamperproof wayEverything is moving toward people saying I want all the benefits of the internet but I want to protect my privacy and my security he said The only thing I know that can reconcile those things is the blockchainBlockchains assemble data into socalled blocks that are chained together using complicated math Since each block is built off the last one and includes information like time stamps any attempt to go back and alter existing data would be highly complicated In the original Bitcoin blockchain the data in the blocks is information about Bitcoin wallets and transactions The blocks of data in the Bitcoin blockchain  and most of its imitators  are kept by a peertopeer computer networkThese experiments have drawn skepticism from Bitcoin aficionados who say blockchains are being applied to problems that could be more easily solved with oldfashioned databasesOther critics say the rapid pace of blockchain development could lead to the same problem facing the broader tech industry a willingness to disrupt and overthrow old systems before the replacement has been thoroughly testedThe blockchain industry is ready and waiting to say Yes we are the solution and they have every incentive to do so said Angela Walch a research fellow at the Center for Blockchain Technologies at University College London But somebody needs to ask the question Is it actually better Is it measurably betterMany blockchain projects opened themselves to criticism and regulatory scrutiny by raising money through socalled initial coin offerings last year These fundraising campaigns often brought in tens of millions of dollars in minutes with little regulatory oversightBut new blockchain efforts continue apace motivated in no small part by concerns about the emergence of internet giants like Facebook and YouTubeMost of the biggest internet companies make their money from collecting personal information and using it to sell targeted advertisements This kind of massive data collection makes them vulnerable to hackers and outsiders who want to leverage the data  as was evident when Cambridge Analytica improperly gained access to 50 million Facebook profiles And startups are using the blockchain in an attempt to pry control of all that data out of their handsBlockstack has built a way to record the basic details about your identity on a blockchain database and then use that identity to set up accounts with other online projects that are built on top of itThe animating force behind the project is that users  rather than Blockstack or any other company  would end up in control of all the data they generate with any online serviceBlockstack is one of several blockchainbased projects hoping to create a new generation of online services that dont rely on having unfettered access to our personal informationThe idea has gained enough steam that in the days after news of Facebooks relationship with Cambridge Analytica broke Twitter was filled with people calling for blockchainbased alternativesEven blockchain advocates say the hype has conditioned people to think that good answers are close at hand when it could take five or 10 years for the technology to properly developIn fact most blockchain projects are still plagued by concerns about privacy For example the widely used Bitcoin blockchain allows certain data  details of the transactions between users  to be seen by anyone even if other data  the users identities  remains obscured Voting startups have solved this by encrypting the data before putting it on a blockchain but there are questions about whether this will solve other privacy concernsBlockchainbased accounts also rely on users keeping their own passwords or private keys which people are famously bad at doing With Bitcoin when people lose their private key they lose access to the money in their account  if someone lost the private key to a blockchainbased online account they could lose access to their identityWere not saying that tomorrow you can flip the switch and a blockchain is going to solve these problems said Michael Casey a coauthor of The Truth Machine a new book on the blockchain Whats important is how it opens the door to a new way of thinking about the problems we faceAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byBERLIN  Aerospace suppliers are starting to explore blockchain technology to keep tabs on their supply chain potentially tracking parts such as that at the center of a Southwest Airlines accident last monthWhile blockchain is best known as the digital transactions technology that underpins cryptocurrency bitcoin it can also be harnessed to track record and transfer assets across all manner of industries potentially smoothing operations cutting costs and improving cash managementThe challenge faced by the aerospace industry in keeping track of tens of thousands of different parts came to light when it emerged after last months fatal explosion that some airlines do not keep track of the history of each individual fan blade within an engine In addition to the operational and cost benefits improved parts management could speed up safety checks after an accident industry experts said and an increasing number of aerospace suppliers are looking at blockchain as a potential solutionBlockchain offers a secure encrypted audit trail because there is only one version of the data meaning it can be used to ensure traceability without reams of paperwork It is already being used to track cobalt on its journey from Congo mines to smartphones for example Moog a US manufacturer of flight control systems is working with partners to create a blockchainbased solution called VeriPart which will initially be used to track 3D printed components Moogs technology chief George Small said the aerospace industry like other highly regulated sectors such as the medical and nuclear power industries was expending considerable effort on tracking parts across the supply chain to keep up with quality and regulatory demandsTRANSPARENCYSmall said the use of blockchain could increase efficiency and transparency in the sharing of data and that customer feedback has been positive so far Though VeriPart is still in development Moog has already had talks with customers on other potential uses for the technology The solution is broadly applicable to manufactured goods and associated data that need to be tracked across supply chains from origin to delivery and on into service Small said in an emailed response to questions Advocates for the technology say transparency is ensured by the encrypted audit trail and because blockchains are open and decentralized allowing different parties to share informationEngine maker RollsRoyce is among those working with blockchain developers to establish how it could be used in the supply chain and says it is rapidly developing solutions The company sees opportunities to automate records for complex products that currently require significant manual effort to ensure they are well managed a RollsRoyce spokesman saidTechnology company Sabre which has been looking at various uses for blockchain in the travel and aviation industries said it could see the case for using it as a system to track componentsIts a situation where you dont need ultra fast technology but you need to be able to trust whats in the blockchain record said Philip Likens director of Sabre LabsLikens said the technology could be used to show who created what part on what date when it was put on a plane and then how many hours the plane was in operation You want to know that all those things are right and correct thats the immutability part he said referring to how blockchain entries cannot be changed Planemaker Airbus meanwhile is looking for a blockchain solution architect to be based at one of its sites in either Toulouse Filton Broughton or Hamburg according to an online job postingIt has formed a working group within the company to identify business challenges worth addressing with blockchain and a spokeswoman said the supply chain seems a natural fitBlockchain could improve the tracking of goods and become a complement to not a wholesale replacement of suppliers procurement software she saidEXAGGERATED CAPABILITIESBut blockchain isnt the only technology that can be used to keep a closer eye on parts in the supply chain Enders Analysis in a wideranging note on blockchain and its use across various industries says that a lot of the capabilities of blockchain are exaggerated or misunderstood and that existing technology can often perform the same roles It says that while blockchaininspired technology could be used to bring transparency to supply chain management it could be hard to guarantee that goods really were delivered as specified on the blockchain Upgrading systems to take advantage of technological progress is important and can increase efficiency the analysts wrote in general advice to any company looking at blockchain But those ends are much more important than the means there is no point deploying blockchain  or a product marketed as blockchain  just for the sake of itIn an example of other technology that can be used to improve supply chain efficiency Airbus last week signed up aircraft structures maker Premium Aerotec to its cloudbased aviation data platform SkywiseThe platform will take order production and quality data from Airbus and Premium Aerotec and analyze the data with a view to keeping the manufacturing process stable and providing transparency in the supply chain To build the aircraft Airbus needs to know where the parts are and when they are coming Premium Aerotec CEO Thomas Ehm told Reuters adding that the Skywise platform aims to provide much better visibility of the manufacturing process Reporting by Victoria Bryan Additional reporting by Tim Hepher Editing by David GoodmanAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byBERLIN  Aerospace suppliers are starting to explore blockchain technology to keep tabs on their supply chain potentially tracking parts such as those identified as the cause of a Southwest Airlines accident last monthWhile blockchain is best known as the digital transactions technology that underpins cryptocurrency bitcoin it can also be harnessed to track record and transfer assets across all manner of industries potentially smoothing operations cutting costs and improving cash managementThe challenge faced by the aerospace industry in keeping track of tens of thousands of different parts came to light when it emerged after last months fatal explosion that some airlines do not keep track of the history of each individual fan blade within an engine In addition to the operational and cost benefits improved parts management could speed up safety checks after an accident industry experts said and an increasing number of aerospace suppliers are looking at blockchain as a potential solutionBlockchain offers a secure encrypted audit trail because there is only one version of the data meaning it can be used to ensure traceability without reams of paperwork It is already being used to track cobalt on its journey from Congo mines to smartphones for example Moog a US manufacturer of flight control systems is working with partners to create a blockchainbased solution called VeriPart which will initially be used to track 3D printed components Moogs technology chief George Small said the aerospace industry like other highly regulated sectors such as the medical and nuclear power industries was expending considerable effort on tracking parts across the supply chain to keep up with quality and regulatory demandsTRANSPARENCYSmall said the use of blockchain could increase efficiency and transparency in the sharing of data and that customer feedback has been positive so far Though VeriPart is still in development Moog has already had talks with customers on other potential uses for the technology The solution is broadly applicable to manufactured goods and associated data that need to be tracked across supply chains from origin to delivery and on into service Small said in an emailed response to questions Advocates for the technology say transparency is ensured by the encrypted audit trail and because blockchains are open and decentralized allowing different parties to share informationEngine maker RollsRoyce is among those working with blockchain developers to establish how it could be used in the supply chain and says it is rapidly developing solutions The company sees opportunities to automate records for complex products that currently require significant manual effort to ensure they are well managed a RollsRoyce spokesman saidTechnology company Sabre which has been looking at various uses for blockchain in the travel and aviation industries said it could see the case for using it as a system to track componentsIts a situation where you dont need ultra fast technology but you need to be able to trust whats in the blockchain record said Philip Likens director of Sabre LabsLikens said the technology could be used to show who created what part on what date when it was put on a plane and then how many hours the plane was in operation You want to know that all those things are right and correct thats the immutability part he said referring to how blockchain entries cannot be changed Planemaker Airbus meanwhile is looking for a blockchain solution architect to be based at one of its sites in either Toulouse Filton Broughton or Hamburg according to an online job postingIt has formed a working group within the company to identify business challenges worth addressing with blockchain and a spokeswoman said the supply chain seems a natural fitBlockchain could improve the tracking of goods and become a complement to not a wholesale replacement of suppliers procurement software she saidEXAGGERATED CAPABILITIESBut blockchain isnt the only technology that can be used to keep a closer eye on parts in the supply chain Enders Analysis in a wideranging note on blockchain and its use across various industries says that a lot of the capabilities of blockchain are exaggerated or misunderstood and that existing technology can often perform the same roles It says that while blockchaininspired technology could be used to bring transparency to supply chain management it could be hard to guarantee that goods really were delivered as specified on the blockchain Upgrading systems to take advantage of technological progress is important and can increase efficiency the analysts wrote in general advice to any company looking at blockchain But those ends are much more important than the means there is no point deploying blockchain  or a product marketed as blockchain  just for the sake of itIn an example of other technology that can be used to improve supply chain efficiency Airbus last week signed up aircraft structures maker Premium Aerotec to its cloudbased aviation data platform SkywiseThe platform will take order production and quality data from Airbus and Premium Aerotec and analyze the data with a view to keeping the manufacturing process stable and providing transparency in the supply chain To build the aircraft Airbus needs to know where the parts are and when they are coming Premium Aerotec CEO Thomas Ehm told Reuters adding that the Skywise platform aims to provide much better visibility of the manufacturing process Reporting by Victoria Bryan Additional reporting by Tim Hepher Editing by David GoodmanAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byLONDON  British energy supplier Centrica will launch a local energy market trial later this year using blockchain technology it said on MondayBlockchain provides a secure platform for consumers to buy and sell directly from each other and is being explored by several European utilities which say it could revolutionise the energy sectorCentrica said its trial is likely to be the largest blockchain project in Britain carried out by one of the big six energy suppliersThe project will test a range of energy trading transactions including multiparty peertopeer trading between 200 businesses and residential participants it saidThe trial will be part of Centricas local energy market project in Cornwall southwest England which is testing several technologies such as storage devices and domestic renewable power generation including solar roof panelsThis is an exciting opportunity for us to test blockchain technology beyond the theoretical and put it into practice Mark Hanafin chief executive of Centrica Business said in a statementCentrica will work with USbased tech startup LO3 Energy on the project which last year secured an undisclosed amount of funding from Centricas 100 million pound Innovations armCentrica is also working on a trial in Texas with LO3 Energy of what it said would be the worlds first microhedging market for business customers Reporting by Susanna Twidale Editing by Adrian CroftAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byOSLO  Norways stateowned grid operator Statnett is convinced blockchain technology can improve efficiency in the energy sector but there is a lack of specialist staff its research and development director Sonja Berlijn told ReutersBlockchain provides a secure platform for consumers to buy and sell directly from each other and is being explored by several European utilities which say it could revolutionise the energy sectorImplementing blockchain and artificial intelligence AI in the electricity system will reduce daily power consumption peaks and distribute utilisation across the day possibly curbing the length of any consequent demandrelated price spikes said BerlijnAs a consumer you can benefit from these technologies It could possibly reduce the price fluctuations for consumers That is the aim we can hope for that she saidMany prominent European utilities including Italys Enel Germanys and Swedens Vattenfall are looking to use the technology with Britains Centrica launching a market trial later this yearThe problem is that the global electricity sector lacks engineers with expertise to build blockchain systems and applications but together with artificial intelligence AI it will be the future of electricity systems Berlijn told ReutersBlockchain technology will be able to reduce the days power consumption peaks by 20 percent she saidStatnett wants to hire roughly 100 specialist staff capable of managing blockchain and AI engineering functions and will fund a professorship role in 2019 so a degree can be offered at the Norwegian University of Science and Technology she addedTraditionally we have electrical and mechanical engineers We see a lack of supply with blockchain and digitisation knowledge We need to build it said Berlijn herself Norways first professor of digital electrical power systemsCurrently the company has about ten employees working with AI but none of their engineers has blockchain specialisationApplying the technology in the power system will mostly occur via peertopeer trading by which households and firms can trade unused electricity and regulate their consumption better during the day using AImodified electronicsEven though blockchain and artificial intelligence are hard to comprehend for most electricity consumers understanding them will not be needed or expected Berlijn saidThe household electronics will have separate IPs there will be algorithms that will reduce their consumption And it will be done automatically in the future via applications she said Editing by Elaine HardcastleAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byJAKARTA  Indonesia like other emerging markets has historically struggled to keep accurate records due to a lack of expertise and resources but the public and private sectors are now looking at blockchain technology to overcome some of these challenges Blockchain the digital data structure best known for underpinning cryptocurrencies provides a shared record of information maintained and updated by a network of computers rather than a centralized authorityThis approach to data management could help Southeast Asias largest economy which has difficulties keeping accurate data and control over everything from food output to personal information for its 250 million people across 17000 islands The tax system is one such area and tech firm Online Pajak has launched a blockchaindriven app that allows customers to share encrypted tax data with institutions such as the tax and treasury offices banks and the central bankAs well as increasing transparency and reducing paperwork and errors it would mean tax payers can know for sure they have paid their dues said Online Pajak founder Charles GuinotToday in Indonesia theres no proof youve paid Guinot said at a briefing to launch the product last weekThe blockchain verification process could also help address doubts that hang over elections in countries like IndonesiaHorizon State an Australian firm plans to launch a phone app on Sumatra island in July which would enable direct polling on various local policy issuesNimo Naamani the firms cofounder said the system uses blockchain verification and could reduce voting fraud and address the electoral challenges faced by countries with large populations dispersed across remote towns and islands with poor accessIndonesian banks are also looking at the technology a survey by Bain  Company published last year found about 80 percent of executives at nancial institutions think blockchain will signicantly impact markets A similar percentage expects to start using it before 2020Rico Usthavia Frans director of digital banking and technology at Bank Mandiri Indonesias secondbiggest bank by assets said it was looking at applying blockchain for trade financing but lenders were waiting for guidelines from regulatorsThe Financial Services Authority has a dedicated team to study how blockchain could help the industry said Fithri Hadi the regulators director of finance innovationCrucially policymakers see the potential to reduce graft in Indonesias public programesFarm subsidies for example are allocated in the state budget based on the previous years harvest though such harvest production statements are difficult to verify due to the large numbers of small farmers This increases the risk of such estimates being overstated in order to receive more fundsThe government is looking at how it can use the technology directly to authenticate information from fund recipientsWe want to use the technology platform to be able to identify those groups of people who need to get the benefit Finance Minister Sri Mulyani Indrawat told Reuters noting her staff are looking at ways to use blockchain for tasks such as subsidy disbursement to microloan programesBlockchain has gained traction in other emerging markets such as Estonia which has employed it for a number of services since 2012 Applications include national health judicial legislation security and commercial code systemsHowever Iwan Djuniardi the tax offices director of transformational technology cautions the pace of adoption in Indonesia could be slowerIt takes time to process a management change before we adopt a new technology Even cloud technology is still being debated let alone blockchain Djuniardi said Reporting by Tabita Diela and Gayatri Suroyo Additional reporting by Cindy Silviana Editing by Ed Davies and Sam HolmesAdvertisementCollapseSEE MY OPTIONS,blockchain
