text,category
Instead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeThe internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThe distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballThere are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingThe pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfMajor companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosAdvertisement,blockchain
Major companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosThe internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThe distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballThere are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingThe pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfInstead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeAdvertisement,blockchain
The pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfThe internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThe distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballThere are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingMajor companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosInstead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeAdvertisement,blockchain
A proud father A brilliant friend Lucky in love Inherited wealth And an opioid addict dead at 54Supported byAnd last weekend Mr Mellon traveled by private plane to Cancun Mexico He was going to get a touchup treatment at a rehab facility he had visited earlier this year said Mr Mellons stepfather J Reeve Bright  and had been sober for about 70 daysHe never made it thereEarlier in the week Mr Mellon visited with his parents in Delray Beach Fla where he was raised We had dinner with him on Saturday night a joyful dinner and a very memorable dinner more than we realized at the time Mr Bright said He hugged and kissed his mother and he hugged and kissed me He said I love you Dad and I said that I loved him And 48 hours later he was deadMr Mellon was a member of one of the countrys oldest banking families the greatgreatgreat grandson of Judge Thomas Mellon the Mellon Bank patriarch Matthew Mellons father Karl N Mellon died in 1983 at the age of 45 by suicide Mr Mellon who had dyslexia attended Phelps a boarding school outside of Philadelphia He was raised by his mother Anne and Mr Bright they married in 1975 Mr Mellon received a bachelors degree from the Wharton School at the University of Pennsylvania in 1989 Mr Mellon remained close to both his former wives His exwives are possibly even more devastated than his mother and I are Mr Bright said We were laughing as we were looking at pictures earlier There was a picture of Matthew standing between Tamara and Nicole and all of them are smiling I dont know how he did it Toward the end of his marriage to Ms Hanley he expanded his professional interests to bitcoin the cryptocurrency In 2014 Mr Marshack and Mr Mellon formed their own company MellonDrexel that allowed them to consult companies in the nascent cryptocurrency sector Mr Mellon was particularly taken with one of those companies Ripple for which he became a global ambassador using his connections to market the company to banks and to his rich or famous friends He took much of his compensation in its currency called XRPThroughout his adult life Mr Mellon wrestled with drug addiction and was in and out of rehab Matthew has struggled his stepfather said speaking of his son in the present tense There is no question that he has struggled He has gone through some difficult things in his life But he pushed and pushed and pushed himselfFriends described Mr Mellon as an avid experimenter who wanted to be an early adopter of the new next thing  a good coffee a good movie or a new apartment That excitement they said may have lent itself to his addiction He sought treatment at Clear Sky earlier this yearOn April 8 a week before he died a photo was posted to what appeared to be one of Mr Mellons Instagram accounts In it he is smiling  and according to the caption soberA week later he was on a plane headed back to Clear Sky But upon landing in Mexico he checked into a hotel rather than going directly to the rehabHis stepfather cried as he discussed the man he and Mr Mellons mother had raised When we found out he died we sat down and we said to each other We know he is in heaven and now all of his struggles are behind him he said He was a kind caring generous person We firmly believe he is now in Heaven AdvertisementCollapseSEE MY OPTIONS,blockchain
The distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballThe internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThere are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingThe pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfMajor companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosInstead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeAdvertisement,blockchain
There are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioThe internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThe distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingThe pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfMajor companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosInstead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeAdvertisement,blockchain
The internet was born in text Now video and audio are ascendant writing is being left behind and everything will be differentIll make this short The thing youre doing now reading prose on a screen is going out of fashionWere taking stock of the internet right now with writers who cover the digital world cataloging some of the most consequential currents shaping it If you probe those currents and look ahead to the coming year online one truth becomes clear The defining narrative of our online moment concerns the decline of text and the exploding reach and power of audio and videoThe distance between the White House and subcultures like 4Chan have closed Now simple guttural digital messages often with multimedia are big in politicsPolitical memes have gone mainstream as the distance between the White House and subcultures like 4Chan has closedPresident Trump has frequently retweeted his fans meme work MeToo jumped from social media to every workplace and political campaigns started to invest in the form more seriously The political meme  text over an image sometimes short videos or digital clip art meant to spread and be imitated  is often a guttural simple message couched in humor like the doctored video from September of Hillary Clinton being hit with his golf ballThere are now more ways to tell if your tweet was bad Thats because of the ratioIts easy to tell when youve nailed a good tweet  just watch the likes and retweets pile up as the post goes viralNow there are also more ways to tell if a tweet was bad Thats because a new barometer for Twitter blahness has taken hold the ratioIts harder to ignore harassment or retaliate against accusers when reports are bolstered by the stories of many others and the public is watchingSusan Fowler had tried going to human resources She had tried going to her managers She had tried transferring departments But nothing changed The sexual and sexist comments she received as an engineer at Uber kept comingThe pioneers of social media have begun grumbling that their technology might be irresistible But they have few ideas about how to tame the beast they builtYour phone buzzes A message an Instagram post a tweet  some bit of digital effluvia has come in and its right there promising a brief but necessary hit of connection All you have to do is lookBut just as an experiment how long can you resist looking A minute Two If you make it that long how do you start to feel Can you concentrate Does your mind wander at what youre missing And if you give in  as you surely will as you probably do many times a day  how do you feel about yourselfMajor companies have been forced to rethink how they advertise online after coming under fire when their digital ads appeared next to racist or fakenews contentFor advertisers one of the internets great promises has been the ability to automatically target people based on their interests and demographics with little regard to the websites they are visitingBut these days major brands have been forced to rethink how they advertise online Companies from Kellogg to ATT have come under fire for inadvertently funding bigotry hate speech and misinformation often because they were using automated ad technology to reach groups of people across a vast number of sites and videosInstead of perfectly polishing their feeds photographers and brands are now showing what women in particular actually look likeAdvertisement,blockchain
AdvertisementSupported byThe ShiftI dont need to tell you that something is wrong with social mediaThe primary problem with todays social networks is that theyre already too big and are trapped inside a marketbased system that forces them to keep growing Facebook cant stop monetizing our personal data for the same reason that Starbucks cant stop selling coffee  its the heart of the enterpriseMany of the fixes being proposed involve regulation The Honest Ads Act a bill in the Senate would require greater transparency for online political ads The European Unions General Data Protection Regulation which goes into effect in May aims to give users greater control of their digital information trailsIf were really serious about changing how social networks operate far more radical interventions are required Here are three possible ways to rescue social media from the marketbased pressures that got us hereFacebook they write is an example of a new power institution that serves old power interests It harvests the creative output of billions of people and turns it into a giant centralized enterprise with most users sharing none of the economic value they create and getting no say in the platforms governanceInstead the authors ask what if a social network was truly run by its usersIf youre contributing economic value to something of this much social consequence you should share in the value youre creating Mr Heimans told meHe could show that he takes democracy seriously enough to start with his own baby Mr Schneider saidAnother radical approach would be to make social networks work more like email  so that independent apps could seamlessly work together with one another across a common protocolInstead of one big Facebook a federated social network would look like clusters of independent nodes  Mombook and Athletebook and Gamerbook  all of which could be plugged into the umbrella network when it made sense Rather than requiring a onesizefitsall set of policies that apply to billions of users these nodes could be designed to reflect users priorities A network for privacy hawks and one for opensharing maximalists could have different dataretention rules and a network for LGBT users and one for evangelical pastors could have different hate speech rules If a node became too toxic it could be removed without shutting down the entire networkEmail is the most resilient social network on the internet Mr Schneider said and the thing that allows it to adapt is that its an open protocol and people build apps on top of it and we evolve how we use itNone of this is a panacea But experimenting with more decentralized models could give social media users a sense that platforms represented their interests rather than those of a faceless corporationA single friend of mine once remarked that the major difference among dating apps like OKCupid Tinder and Bumble wasnt the way they were designed or the companies behind them  it was how long they had existedNew apps she said were more likely to attract interesting and smart people who were actually looking for dates Older apps by contrast were eventually overrun with creeps and predators no matter how well built they wereA similar theory might apply to social networks Facebook Twitter YouTube Instagram and Snapchat all had plenty of issues in their early years but they were by and large cleaner with fewer types of exploitation and malicious behavior Today the enormous size and influence of these platforms have made them irresistible honey pots for bad actors and many of our social graphs  Facebooks term for the webs of digital connections we create  are clogged with years worth of clutterId go even further and suggest that social networks give their users an automatic selfcleaning option which would regularly clear their profiles of apps they no longer used friendships and followers they no longer interacted with and data they no longer needed to store If these tools were enabled users would need to take affirmative action if they didnt want their information to disappear after a certain number of months or yearsMaking social graphs temporary rather than preserving them forever by default would undoubtedly be bad for most social networks business models But it could create new and healthy norms around privacy and data hygiene and it would keep problems from piling up as networks get older and more crowded It might even recapture some of the magic of the original social networks when things were fresh and fascinating and not quite so scaryAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementSupported byOur guide to standup improv and variety showsAdvertisementCollapseSEE MY OPTIONS,blockchain
AdvertisementWith Andrew Ross SorkinGood Monday Heres what were watching Is Comcast going to play spoiler Why bitcoin tumbled from its highs at the end of last year Apple is just 80 billion shy of 1 trillion Elliott Management offers to buy Athenahealth Catch up on the highlights from Berkshire Hathaways annual meetingAccording to Reuters Comcast is holding discussions with investment banks about financing an allcash deal but the cable giant is waiting on a judge to rule next month on the Department of Justices suit to block ATTs acquisition of Time Warner before submitting an offer Reuters reportedAdvertisementContextAdvertisementSince then Comcast has moved to complicate Foxs plan to sell the bulk of its businesses to DisneyOn Dec 17 2017 the price of bitcoin hit a high of 19511 That capped a remarkable 10month run for the cryptocurrency which traded below 1150 on Feb 22 2017Since midDecember the price of bitcoin has retreated It bottomed out below 6000 in early February and is currently down more 50 percent from its highThe researchers writeThe advent of blockchain introduced a new financial instrument bitcoin which optimistic investors bid up until the launch of bitcoin futures allowed pessimists to enter the market which contributed to the reversal of the bitcoin price dynamicsThis onesided speculative demand came to an end when the futures for bitcoin started trading on the CME on December 17 Although the Chicago Board Options Exchange CBOE had opened a futures market a week earlier on December 10 trading was thin until the CME joined the market Indeed the average daily trading volume the month after the CME issued futures was approximately six times larger than when only the CBOE offered these derivativesShares of Apple have risen nearly 16 percent including a 19 percent gain on Monday the past six sessions That rally has pushed the iPhone makers market value back above 900 billion and just 80 billion shy of 1 trillionAdvertisementApples shares had stumbled late last month as investors grew increasingly concerned that sales of iPhones would disappoint But revenue from the iPhone proved stronger than feared and the company announced a 100 billion buyback planElliott Management offered on Monday to buy Athenahealth for 160 a share or 65 billionThe offer was made in a letter Elliott sent to the board of the health care software company The activist hedge fund led by Paul Singer also said it may be able to substantially improve the proposed price with additional private diligenceIn Mondays letter Elliott said Athenahealths potential will never be realized without the kind of operational change that the company seems unable to deliverUnfortunately we are faced now with the stark reality that Athenahealth as a publiccompany investment despite all of its promise has not worked for many years is not working today and will not work in the future Given Athenahealths potential this reality is deeply frustrating but the fact remains that Athenahealth as a public company has not made the changes necessary to enable it to grow as it should and to create the kind of value its shareholders deserveElliott said it approached Athenahealth about the company going private in NovemberAdvertisementCitigroup has a market value of 175 billion so ValueAct owns about 07 percent of CitigroupThe letter doesnt call for any significant strategic changes though it does suggest the bank could increase its plan to return cash to shareholders to about 50 billion from 40 billion The WSJ reports citing ValueActs letter to its investorsSaturday was the day for the Woodstock of capitalism  Berkshire Hathaways annual meeting and a celebration of Warren Buffett  and Andrew joined shareholders analysts and other journalists seeking to ask the Oracle of Omaha about virtually anythingAndrew has more from the meeting Shareholders applauded a question  which they rarely do  that was critical of Berkshires ownership of Wells Fargo And Mr Buffetts response to a gun question and a critique of Elon Musk caused lots of chatter Mr Buffett is sticking with Wells Fargo despite its current troubles and said that its current CEO Tim Sloan is correcting mistakes made by other people He loves Apple  but wants the company of which Berkshire owns about 5 percent to keep buying back shares He had lesskind words for cryptocurrencies which he said will come to bad endings He defended business with the gun industry reiterating I do not believe on imposing my political opinions on the activities of our businessesOur columnist Andrew Ross Sorkin and his Times colleagues help you make sense of major business and policy headlines  and the powerbrokers who shape themPlease verify youre not a robot by clicking the boxInvalid email address Please reenterYou must select a newsletter to subscribe toView all New York Times newslettersThe alliance underlines Nestles efforts to capture more upscale java drinkers in the US where the maker of Nespresso and Nescafe has been outpaced by JAB Holding The investment company of Europes billionaire Reimann family has spent more than 30 billion building a coffee empire by acquiring assets such as Keurig Green Mountain and PeetsAdvertisementThen there was this from the NYTIn 2016 Mr Cohen went so far as to dabble in financial engineering He spoke to investors about pooling distressed loans that financed taxi medallion purchases repackaging them and selling them to investors according to a person with direct knowledge of the discussions He also explored buying up such loans at a bargain price in anticipation that their value would recover the person said The outcome of those discussions was not clearAdvertisementAleksandr Kogan wasnt the only academic to harvest data from Facebook users Researchers have collected information from the site for more than a decade But the proliferation of these data sets has made it easier to identify some of the millions of individuals whose information was collectedAdvertisementOne 2015 paper published in the journal Science looked at credit card spending data and found that data scientists could pinpoint 90 percent of the shoppers by name with just four random pieces of information from sites like Facebook Instagram and TwitterAdvertisementGo to Home Page ,blockchain
